hist_t_0.01.csv
theta_deg,counts
0.15,864467
0.45,118681
0.75,9659
1.05,3057
1.35,1368
1.65,795
1.95,478
2.25,323
2.55,205
2.85,165
3.15,125
3.45,78
3.75,79
4.05,60
4.35,46
4.65,40
4.95,38

hist_t_0.02.csv
theta_deg,counts
0.15,658448
0.45,297840
0.75,27796
1.05,6963
1.35,3006
1.65,1688
1.95,984
2.25,682
2.55,463
2.85,350
3.15,246
3.45,185
3.75,165
4.05,115
4.35,101
4.65,76
4.95,84

hist_t_0.03.csv
theta_deg,counts
0.15,511121
0.45,398412
0.75,62915
1.05,12680
1.35,5176
1.65,2766
1.95,1614
2.25,1093
2.55,793
2.85,520
3.15,420
3.45,293
3.75,261
4.05,190
4.35,175
4.65,144
4.95,145

hist_t_0.04.csv
theta_deg,counts
0.15,411131
0.45,437933
0.75,107840
1.05,21080
1.35,7766
1.65,4001
1.95,2397
2.25,1576
2.55,1101
2.85,823
3.15,570
3.45,471
3.75,393
4.05,300
4.35,244
4.65,226
4.95,201

hist_t_0.05.csv
theta_deg,counts
0.15,339733
0.45,443767
0.75,152929
1.05,33163
1.35,11043
1.65,5483
1.95,3264
2.25,2134
2.55,1414
2.85,1057
3.15,830
3.45,583
3.75,555
4.05,404
4.35,326
4.65,324
4.95,216

hist_t_0.06.csv
theta_deg,counts
0.15,289826
0.45,430473
0.75,189808
1.05,48904
1.35,15332
1.65,7301
1.95,4271
2.25,2734
2.55,1890
2.85,1446
3.15,1047
3.45,872
3.75,696
4.05,560
4.35,445
4.65,402
4.95,317

hist_t_0.07.csv
theta_deg,counts
0.15,249705
0.45,412369
0.75,217978
1.05,66736
1.35,20867
1.65,9421
1.95,5424
2.25,3403
2.55,2419
2.85,1712
3.15,1317
3.45,1009
3.75,831
4.05,644
4.35,553
4.65,420
4.95,374

hist_t_0.08.csv
theta_deg,counts
0.15,218215
0.45,391182
0.75,237502
1.05,85553
1.35,27591
1.65,11761
1.95,6631
2.25,4176
2.55,3019
2.85,2138
3.15,1630
3.45,1274
3.75,1029
4.05,814
4.35,666
4.65,567
4.95,544

hist_t_0.09.csv
theta_deg,counts
0.15,195603
0.45,366732
0.75,251254
1.05,102354
1.35,35444
1.65,14901
1.95,7967
2.25,5100
2.55,3482
2.85,2571
3.15,1930
3.45,1430
3.75,1140
4.05,965
4.35,833
4.65,683
4.95,563

hist_t_0.10.csv
theta_deg,counts
0.15,174312
0.45,345993
0.75,258729
1.05,118482
1.35,43772
1.65,18376
1.95,9749
2.25,6110
2.55,4243
2.85,3046
3.15,2253
3.45,1840
3.75,1398
4.05,1120
4.35,971
4.65,775
4.95,713

hist_t_0.11.csv
theta_deg,counts
0.15,157378
0.45,325544
0.75,262095
1.05,132682
1.35,53301
1.65,21923
1.95,11496
2.25,7011
2.55,4852
2.85,3457
3.15,2700
3.45,2102
3.75,1631
4.05,1358
4.35,1130
4.65,992
4.95,780

hist_t_0.12.csv
theta_deg,counts
0.15,142942
0.45,306611
0.75,263113
1.05,144593
1.35,62088
1.65,26449
1.95,13568
2.25,8151
2.55,5526
2.85,4031
3.15,3078
3.45,2296
3.75,1862
4.05,1530
4.35,1248
4.65,1030
4.95,907

hist_t_0.13.csv
theta_deg,counts
0.15,131665
0.45,288114
0.75,261393
1.05,154429
1.35,71037
1.65,31286
1.95,15707
2.25,9454
2.55,6356
2.85,4469
3.15,3284
3.45,2662
3.75,2103
4.05,1707
4.35,1413
4.65,1201
4.95,1080

hist_t_0.14.csv
theta_deg,counts
0.15,120576
0.45,272124
0.75,259352
1.05,161656
1.35,79677
1.65,36092
1.95,17981
2.25,10723
2.55,7113
2.85,5017
3.15,3754
3.45,3034
3.75,2353
4.05,1990
4.35,1578
4.65,1369
4.95,1183

hist_t_0.15.csv
theta_deg,counts
0.15,112027
0.45,256504
0.75,253404
1.05,168690
1.35,87965
1.65,41390
1.95,21055
2.25,12278
2.55,7975
2.85,5753
3.15,4237
3.45,3342
3.75,2678
4.05,2127
4.35,1856
4.65,1591
4.95,1229

hist_t_0.16.csv
theta_deg,counts
0.15,103791
0.45,241904
0.75,248981
1.05,174152
1.35,94595
1.65,46683
1.95,23913
2.25,13632
2.55,8946
2.85,6570
3.15,4723
3.45,3724
3.75,2825
4.05,2436
4.35,2037
4.65,1732
4.95,1388

hist_t_0.17.csv
theta_deg,counts
0.15,96568
0.45,229866
0.75,242882
1.05,176820
1.35,101386
1.65,51593
1.95,27042
2.25,15594
2.55,10213
2.85,7155
3.15,5374
3.45,4056
3.75,3274
4.05,2708
4.35,2156
4.65,1926
4.95,1588

hist_t_0.18.csv
theta_deg,counts
0.15,90638
0.45,217542
0.75,237539
1.05,179198
1.35,107426
1.65,56755
1.95,29791
2.25,17483
2.55,11187
2.85,7869
3.15,5894
3.45,4515
3.75,3567
4.05,2814
4.35,2404
4.65,2024
4.95,1740

hist_t_0.19.csv
theta_deg,counts
0.15,84419
0.45,206583
0.75,231406
1.05,180068
1.35,112629
1.65,61916
1.95,33615
2.25,19306
2.55,12476
2.85,8745
3.15,6423
3.45,4849
3.75,3806
4.05,3120
4.35,2550
4.65,2266
4.95,1896

hist_t_0.20.csv
theta_deg,counts
0.15,79749
0.45,196375
0.75,223516
1.05,181145
1.35,117775
1.65,66423
1.95,36813
2.25,21428
2.55,13489
2.85,9308
3.15,6947
3.45,5474
3.75,4400
4.05,3498
4.35,2922
4.65,2461
4.95,2082

hist_t_0.21.csv
theta_deg,counts
0.15,74593
0.45,187267
0.75,217745
1.05,181153
1.35,121616
1.65,71280
1.95,40031
2.25,23313
2.55,14884
2.85,10229
3.15,7497
3.45,5908
3.75,4537
4.05,3792
4.35,3128
4.65,2605
4.95,2147
