# Thickness    Sigma(deg)    Sigma_error(deg)
0.010000 0.215602 0.000114
0.020000 0.306250 0.000150
0.030000 0.377925 0.000187
0.040000 0.442378 0.000221
0.050000 0.500922 0.000258
0.060000 0.556174 0.000302
0.070000 0.612705 0.000360
0.080000 0.672786 0.000439
0.090000 0.735711 0.000540
0.100000 0.808690 0.000685
0.110000 0.818706 0.000445
0.120000 0.865963 0.000484
0.130000 0.911546 0.000527
0.140000 0.957399 0.000576
0.150000 1.006369 0.000634
0.160000 1.054101 0.000697
0.170000 1.106078 0.000776
0.180000 1.157114 0.000860
0.190000 1.216443 0.000969
0.200000 1.274964 0.001088
0.210000 1.338880 0.001233
0.220000 1.407353 0.001406
0.230000 1.483940 0.001619
0.240000 1.561059 0.001859
0.250000 1.660406 0.002208
0.260000 1.532412 0.001262
0.270000 1.583846 0.001368
0.280000 1.650284 0.001519
0.290000 1.711384 0.001666
0.300000 1.777177 0.001842
0.310000 1.851152 0.002055
0.320000 1.925136 0.002287
0.330000 2.004235 0.002555
0.340000 2.097066 0.002900
0.350000 2.189046 0.003275
0.360000 2.299661 0.003770
0.370000 2.433461 0.004432
0.380000 2.549819 0.005083
0.390000 2.713401 0.006087
0.400000 2.887710 0.007307
0.410000 3.078882 0.008831
0.420000 3.348824 0.011335
0.430000 3.634832 0.014462
0.440000 3.977902 0.018939
0.450000 4.537495 0.028063
