theta_deg,counts
0.15,289826
0.45,430473
0.75,189808
1.05,48904
1.35,15332
1.65,7301
1.95,4271
2.25,2734
2.55,1890
2.85,1446
3.15,1047
3.45,872
3.75,696
4.05,560
4.35,445
4.65,402
4.95,317
5.25,279
5.55,239
5.85,220
6.15,186
6.45,179
6.75,143
7.05,146
7.35,126
7.65,113
7.95,110
8.25,93
8.55,88
8.85,73
9.15,72
9.45,88
9.75,49
10.05,64
10.35,52
10.65,58
10.95,48
11.25,47
11.55,39
11.85,22
12.15,25
12.45,36
12.75,36
13.05,42
13.35,27
13.65,21
13.95,25
14.25,24
14.55,31
14.85,21
15.15,28
15.45,21
15.75,24
16.05,17
16.35,15
16.65,12
16.95,14
17.25,13
17.55,11
17.85,13
18.15,11
18.45,15
18.75,11
19.05,17
19.35,12
19.65,16
19.95,12
20.25,9
20.55,12
20.85,10
21.15,8
21.45,14
21.75,10
22.05,8
22.35,8
22.65,7
22.95,9
23.25,5
23.55,5
23.85,9
24.15,7
24.45,7
24.75,7
25.05,11
25.35,7
25.65,10
25.95,12
26.25,6
26.55,6
26.85,4
27.15,6
27.45,5
27.75,7
28.05,7
28.35,5
28.65,2
28.95,7
29.25,11
29.55,7
29.85,5
30.15,3
30.45,2
30.75,1
31.05,4
31.35,5
31.65,4
31.95,3
32.25,6
32.55,6
32.85,3
33.15,3
33.45,5
33.75,3
34.05,4
34.35,4
34.65,3
34.95,4
35.25,2
35.55,1
35.85,6
36.15,1
36.45,6
36.75,1
37.05,4
37.35,2
37.65,1
37.95,3
38.25,1
38.55,0
38.85,1
39.15,1
39.45,0
39.75,1
40.05,3
40.35,0
40.65,4
40.95,4
41.25,3
41.55,2
41.85,0
42.15,2
42.45,3
42.75,5
43.05,2
43.35,0
43.65,0
43.95,2
44.25,3
44.55,2
44.85,2
45.15,4
45.45,2
45.75,4
46.05,1
46.35,2
46.65,1
46.95,2
47.25,3
47.55,0
47.85,1
48.15,0
48.45,2
48.75,2
49.05,2
49.35,1
49.65,2
49.95,0
50.25,2
50.55,2
50.85,0
51.15,1
51.45,2
51.75,2
52.05,1
52.35,1
52.65,1
52.95,1
53.25,2
53.55,1
53.85,1
54.15,0
54.45,2
54.75,1
55.05,3
55.35,2
55.65,2
55.95,1
56.25,1
56.55,0
56.85,0
57.15,1
57.45,0
57.75,0
58.05,0
58.35,3
58.65,0
58.95,1
59.25,0
59.55,0
59.85,2
